Text,Stance,Sentiment,Target
"@ mit5_anders to paraphrase friedan , the more a drive is deprived of data , the more its data will expand to fill the space . # 1960s # semst",NONE,Positive,feminist movement
"watching # baltimoreriots on fox news , obvious feminist and her goony beardman following the reporter around for attention # semst",AGAINST,Negative,feminist movement
"i 've removed the term # feminist from by bio because racist , transphobic , white feminists have fucked it up for everyone . # semst",AGAINST,Negative,feminist movement
@ beeeatles is this list for real ? please god it better be a joke . no man or woman should ever pay attention to this shit . # pissed # semst,NONE,Negative,feminist movement
now harry is arguing with dead girl 's father about whose job it is to kill the rapemurdering villain . # horns # semst,NONE,Negative,feminist movement
@ sammikluber i 'm just stating the facts # semst,NONE,Other,feminist movement
how can you be female and not be a feminist ? like do you not care about your rights as a women or what ? # semst,FAVOR,Negative,feminist movement
i wonder what would happen if riots started breaking out across the globe because of how poorly women are treated by some men . # semst,FAVOR,Negative,feminist movement
rt @ weneedfeminism : 'bad bitch ' is not a compliment # semst,FAVOR,Negative,feminist movement
. @ cooimemegirl @ tc_stompa women do n't understand men 's plight and so should n't force men into fatherhood w/o consent . # semst,AGAINST,Negative,feminist movement
. @ cooimemegirl @ tc_stompa so what ? it is a man 's choice whether he wants to breast feed his children . # semst,NONE,Negative,feminist movement
. @ cooimemegirl @ tc_stompa you have no respect for real equality so you lie and claim feminists want it . # semst,AGAINST,Negative,feminist movement
oh no equality for all what shall we do ? ! ? ! ? stop feminist asap # semst,AGAINST,Negative,feminist movement
. @ theactualsarah the uk is considering abolishing prisons for women completely because crime is a man 's fault . # semst,AGAINST,Negative,feminist movement
@ vivvyyy what 's so wrong with getting dick ? how come when guys do it they 're praised for it ? you sexist # semst,FAVOR,Negative,feminist movement
the moment you know you 've won as a wife . you put out and he gets up to make his own sandwich . # winning # yvrmoms # funny # joke # semst,FAVOR,Positive,feminist movement
you do n't have to be anti-men to be pro-women . ~ # shequotes # quote # women # men # semst,FAVOR,Other,feminist movement
@ jahmmarastafari @ vosnic you 're incredibly bigoted . from rape to homosexuality . # mensrights # semst,AGAINST,Negative,feminist movement
"full of # narcissism and self-loathing , a lot of women out there like that . its got sod all to do with # wrightstuff # wolfwhistling # semst",AGAINST,Negative,feminist movement
@ demias20 misogynist patriarchy rapist neckbeard harasser evil mansplain manspread woman hater born a rapist etc etc etc # semst,FAVOR,Negative,feminist movement
". @ brigadam @ klarajoelsson abortion is not suffering to women - why do you think it is ? do you hate abortion , feminist ? # semst",AGAINST,Negative,feminist movement
it is not a woman 's place to be made to feel uncomfortable walking down the street . # poppysmart # semst,FAVOR,Negative,feminist movement
. @ brigadam @ klarajoelsson the child could be seized for adoption to prolife couples or raised by mom alone - no $ $ . # semst,NONE,Negative,feminist movement
`` . @ brigadam @ klarajoelsson you just made the best case against feminist `` '' equality '' '' ever ! fuck feminism ! # semst '',AGAINST,Negative,feminist movement
"so , i 'm following @ rgay 's lead & embracing the term # badfeminist . i 'm too far from perfect and still learning . # semst",FAVOR,Negative,feminist movement
just read a rather good article on females and their perceived/imposed limits throughout the education system and the work place # semst,FAVOR,Positive,feminist movement
to the people ( male and female- the females always upset me more ) who told me i could n't achieve or do what a boy/man can . # semst,FAVOR,Negative,feminist movement
"every time i was told i was bossy rather than assertive i took it as a compliment , # semst",FAVOR,Positive,feminist movement
"the most upsetting of all of these however , was when i was greeted with shock and disgust for the fact i have ambition and # semst",FAVOR,Negative,feminist movement
"wanted to pursue a career rather than settle down and start a family in my 20 's . even now , people still tell me time is ticking & # semst",FAVOR,Negative,feminist movement
"this always infuriates me . if i was male would i be asked these questions ? would i be stereotyped as a 'bitch ' , 'cold hearted ' or # semst",FAVOR,Negative,feminist movement
"i refuse to accept that there is a unbreakable glass ceiling , after all if you hit glass hard enough it will shatter # glassceiling # semst",FAVOR,Positive,feminist movement
@ carly_senatore also im assuming you claim to be one ... yet you just called me an idiot and you dont even know me . nice . # semst,NONE,Negative,feminist movement
`` @ virginradioto @ mauragrierson how about `` '' maura & tucker in the morning '' '' # equality # seniority # semst '',FAVOR,Other,feminist movement
i do n't understand how the concept of a male being a feminist does n't get in some peoples heads . equality ? anyone ? # feminist # semst,FAVOR,Negative,feminist movement
@ mike_charmander @ mslatina a right does n't have to come from a law . they 're called equal rights not equal laws # semst,FAVOR,Negative,feminist movement
today we watch the united states supreme court . # semst,NONE,Other,feminist movement
we live in a world where you 're either a bitch or a doormat # semst,FAVOR,Negative,feminist movement
"@ jowilliams293 feminists , go to the gym , lose some weight and stop to blame society for everything # semst",AGAINST,Negative,feminist movement
@ spectator exactly women are so weak and incapable the sight of one in a slim skin is giving them an attack of the vapours # semst,AGAINST,Negative,feminist movement
`` men that want `` '' credit '' '' from women for being feminists are not feminists at all . they 're just men wanting more privileges # vaw # p2 # semst '',FAVOR,Negative,feminist movement
@ oakleyftgaga you should be nice to me anyways # nicerinternet # semst,NONE,Positive,feminist movement
we are actually watching a video on radical feminism in history this is the funniest movie ive ever seen # semst,AGAINST,Positive,feminist movement
they opened a blenders in the vhs girls bathroom today ! # themoreyouknow # semst,NONE,Other,feminist movement
thought that goes through my mind on a regular basis : would you have said that to me if i was a man ? # semst,FAVOR,Negative,feminist movement
"when real life gets controversial , scroll social media faster . # baltimoreriots # nepalearthquake # kyliejennerchallenge # semst",NONE,Negative,feminist movement
people who call themselves beautiful are really the ugliest . # deep # edgy # philosophy # baltimoreriots # baltimore # semst,NONE,Negative,feminist movement
"for us , by us : these apps are what happens when girls # hackforgirlsrights via @ autostraddle # girlsintechht ... /buff.ly/1hhhm18 # semst",FAVOR,Positive,feminist movement
hey guyz i 'm talking about baltimore * social issues * super smart super current events # semst,NONE,Positive,feminist movement
just been putting the finishing touches to a feminist-themed cryptic crossword ... standard . # crosswords # semst,FAVOR,Negative,feminist movement
@ mrramsbottom @ instruct @ madebyreformat @ studiodbd @ luketonge i have to stop tweeting now cause @ joewellmade wants his tea making . # semst,NONE,Other,feminist movement
@ powsimian does a vegan diet make you immortal ? either way we 're all gon na die # semst,NONE,Negative,feminist movement
"@ moonsmuke wow . a threat of violence from a feminist , when i 've been nothing but polite . i might report this . . . # semst",AGAINST,Negative,feminist movement
walking through my neighborhood i saw 5 different fathers taking care of the toddler with no woman nearby # househusband # semst,FAVOR,Negative,feminist movement
@ foxtrotjames i can kind of see myself doing what she 's doing # femalepower # yolo # semst,FAVOR,Positive,feminist movement
@ oliviajeniferx it 's not always the guys job . # equality # semst,FAVOR,Negative,feminist movement
`` eating a bagel by myself rocking out to `` '' man ! i feel like a woman ! '' '' # ponytail # freedom # semst '',FAVOR,Positive,feminist movement
"`` well maybe if more men learned to take `` '' no '' '' as an answer , women would n't have to say as much # fnm231 # semst ''",FAVOR,Negative,feminist movement
# weneedfeminism because # yesallwomen simply do not get the same level of respect that i get as a man . # heforshe # semst,FAVOR,Positive,feminist movement
# fsurhet protip . maybe familiarize yourself with recent trending topics .... # meninist # blacklivesmatter # baltimoreriots # semst,NONE,Negative,feminist movement
`` @ __florencesmith not `` '' if '' '' - women do have equal rights & feminists have made women more equal than men . go read `` '' animal farm # semst '',AGAINST,Negative,feminist movement
"`` some guy just called me a gentleman for holding the door open for him . he then corrected himself & said `` '' i 'm sorry , gentlewoman ! # semst ''",FAVOR,Negative,feminist movement
excited to hear author @ leoratanenbaum slut-shaming in the age ofthe internet # slutshaming # semst,FAVOR,Positive,feminist movement
"do n't let anyone else 's perception of you define you or your beliefs , and do n't feel you have to justify your own worth # semst",FAVOR,Positive,feminist movement
"u can be a # feminist w/o bein a bitch , u can also embrace ur sexuality w/o having loose morals # empowerallbodies # empoweringwomen # semst",FAVOR,Negative,feminist movement
it doesnt take a miracle all takes signature and a few kind people to know not to kill innocent a women # maryjanelives # semst,FAVOR,Negative,feminist movement
i take it personally when people call my dog a he . toni is a girls name too # semst,FAVOR,Negative,feminist movement
the queen won the royalty race not the king or prince # semst,FAVOR,Other,feminist movement
i nailed another black feminist . i banged her so hard that she shit . my wife ended up cleaning up the shit too . # baltimoreriots # semst,AGAINST,Negative,feminist movement
"`` we teach the young rubbernormative messages about how they `` '' should '' '' use condoms , as if rawdogging is somehow wrong # teamnocondom # semst ''",NONE,Positive,feminist movement
rt @ patsymaureen : females turn into man hating feminists because no man fancy 's they 're dyke lesbian ass 's . # semst,AGAINST,Negative,feminist movement
let 's fight for women 's equality ! ! read the blog below and join the cause for woman 's rights and gender equality for all ! ! # semst,FAVOR,Positive,feminist movement
rt @ wearefemstrong : wonder what it 'd be like to wear a dress and not be sexually harassed for it . # yesallwomen # semst,FAVOR,Negative,feminist movement
@ enews tell @ terrencej to stop speaking about women is such a belittling manner . you should never lie to women . # equality # asshole # semst,FAVOR,Negative,feminist movement
whether you label yourself a feminist or not i think it 's important that we address equal rights.-taylor swift . # semst,FAVOR,Positive,feminist movement
"# weneedfeminism because # nomeansno it doesnt mean yes , it doesnt mean try harder ! # yesallwomen @ yesallwomen # rt # semst",FAVOR,Positive,feminist movement
"thanks for all the laughs tonight , @ amyschumer ! and the social commentary was n't bad either ; ) # equalpay # girlyoudontneedmakeup # semst",FAVOR,Positive,feminist movement
v ! ca n't wait to see you ! # # semst,NONE,Positive,feminist movement
@ victoriacoren has an article on women and politics in this months @ elleuk - it 's a must read . # generalelection # politics # women # semst,FAVOR,Positive,feminist movement
what a wonderful interview with @ blakelively in @ stylistmagazine . very refreshing feminist views # semst,FAVOR,Positive,feminist movement
@ daily_feminism -- give us a follow back . # feminist # semst,FAVOR,Other,feminist movement
contrary to stereotype i see feminists all over social media championing causes that benefit men . # yesallwomen # heforshe # semst,FAVOR,Positive,feminist movement
"time to go hashtag crazy , then ... # folklore # uktourism # britain # storytelling # myth # legend # equality # multicultural # folk # semst",NONE,Positive,feminist movement
@ ukip also a policy on removing feminists . in their entirety . thanks for your help with this # voteukip # semst,AGAINST,Positive,feminist movement
